,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOC, 10-2 disjoint setting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Step,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,M-IoU (1-10),M-IoU (11-12),M-IoU (13-14),M-IoU (15-16),M-IoU (17-18),M-IoU (19-20)
,1,92.15,86.29,40.65,83.05,69.49,83.28,88.58,82.11,87,35.01,65.19,28.68,39.6,x,x,x,x,x,x,x,x,72.065,34.14,x,x,x,x
,2,91.26,83.88,34.24,77.19,68.3,77.77,85.98,57.99,68.02,30.5,44.83,24.87,40.63,35.29,23.66,x,x,x,x,x,x,62.87,32.75,29.475,x,x,x
,3,86.45,64.51,32.46,73.55,59.55,74.36,78.95,62.9,69.05,27.92,45.31,15.07,38.24,38.38,35.27,36.42,34.1,x,x,x,x,58.856,26.655,36.825,35.26,x,x
,4,84.51,52.37,29.27,66.16,62.46,62.23,80.66,60.84,53.69,7.23,43.32,0,39.03,40.99,39.18,36.7,37.72,38.01,10.68,x,x,51.823,19.515,40.085,37.21,24.345,x
,5,82.72,44.22,27.39,67.13,53.22,58.81,65.29,34.45,57.91,6.5,30.14,0.07,36.82,39.56,34.54,40.35,39.21,39.19,14.36,32.26,7.27,44.506,18.445,37.05,39.78,26.775,19.765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOC, 10-5 overlap setting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method,Step,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,M-IoU (1-10),M-IoU (11-15),M-IoU (16-20),,,
WILSON,0,95.17,91.53,42.22,88.08,65.8,85.9,89.8,86.92,81.98,38.85,50.91,x,x,x,x,x,x,x,x,x,x,72.199,x,x,,,
,1,88.02,78.02,39.55,86.81,49.95,84.02,78.53,83.06,87.59,38.03,58.15,27.91,75.59,61.25,70.14,43.14,x,x,x,x,x,68.371,55.606,x,,,
,2,86.38,74.28,38.74,83.05,48.59,81.37,68.89,82.61,87.49,34.38,68.51,27.9,75.65,57.7,56.83,50.99,22.2,48.31,35.28,51.91,38.72,66.791,53.814,39.284,,,
Ours,0,95.17,91.53,42.22,88.08,65.8,85.9,89.8,86.92,81.98,38.85,50.91,x,x,x,x,x,x,x,x,x,x,72.199,x,x,,,
,1,88.76,83.49,40.32,86.93,58.1,85.23,85.88,85.35,88.04,37.53,57.53,25.5,75.51,62.48,71.13,45.69,x,x,x,x,x,70.84,56.062,x,,,
,2,88.4,72.56,39.08,84.62,55.81,82.88,78.13,84.39,88.01,34.71,67.95,25.11,75.43,62.45,55.77,54.11,22.74,55.13,35.21,61.08,44.07,68.814,54.574,43.646,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method,step,task_id,miou,dataset,benchmark,setting,,,,,,,,,,,,,,,,,,,,,,
WILSON,0,0,54.694,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,0,58.095,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,0,58.147,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,0,41.593,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,0,39.774,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,0,36.392,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,1,1,20.7,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,1,24.28,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,1,26.295,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,1,21.185,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,1,18.145,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,2,2,22.645,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,2,22.69,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,2,26.76,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,2,26.935,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,3,3,29.38,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,3,30.565,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,3,31.74,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,4,4,13.335,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,4,14.88,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
WILSON,5,5,12.435,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,0,0,54.694,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,1,0,58.392,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,2,0,60.284,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,3,0,50.045,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,4,0,44.751,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,5,0,42.535,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
Ours,1,1,22.095,VOC,10_2,disjoint,,,,,,,,,,,,,,,,,,,,,,
